2.5,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311,3.4764e-311
2.4987,2.4956,2.4862,2.4697,2.446,2.4153,2.3778,2.3338,2.2834,2.2268,2.1642,2.0957,2.0214,1.9413,1.8554,1.7637,1.6661,1.5625,1.4528,1.3368
2.4945,2.4877,2.4746,2.4551,2.4293,2.3974,2.3594,2.3153,2.2653,2.2093,2.1475,2.0799,2.0065,1.9273,1.8424,1.7516,1.6548,1.552,1.4431,1.3278
2.4863,2.4752,2.4586,2.4367,2.4096,2.3771,2.3392,2.2956,2.2465,2.1916,2.1311,2.0648,1.9928,1.915,1.8313,1.7417,1.6462,1.5446,1.4367,1.3225
2.4737,2.4592,2.4398,2.4158,2.3871,2.3533,2.3144,2.2701,2.2203,2.1649,2.1039,2.0371,1.9646,1.8863,1.8022,1.7121,1.616,1.5138,1.4053,1.2905
2.4576,2.4396,2.4161,2.3867,2.3514,2.3103,2.2635,2.211,2.153,2.0894,2.0205,1.9461,1.8663,1.7809,1.6899,1.5932,1.4906,1.382,1.267,1.1457
2.4382,2.4168,2.3895,2.3565,2.3177,2.2733,2.2233,2.1679,2.1072,2.0411,1.9698,1.8931,1.8112,1.7238,1.6308,1.5322,1.4277,1.3171,1.2002,1.0769
2.4154,2.3904,2.3598,2.3239,2.2827,2.2362,2.1846,2.1277,2.0657,1.9986,1.9262,1.8487,1.7658,1.6776,1.5839,1.4844,1.3791,1.2676,1.1499,1.0256
2.389,2.3608,2.3276,2.2898,2.2472,2.1998,2.1475,2.0903,2.0282,1.961,1.8886,1.8111,1.7284,1.6402,1.5465,1.447,1.3416,1.2301,1.1122,0.98779
2.3595,2.329,2.2931,2.2518,2.2051,2.153,2.0957,2.0332,1.9658,1.8933,1.8159,1.7335,1.6459,1.5531,1.4549,1.3511,1.2415,1.1257,1.0037,0.87509
2.3277,2.2946,2.2564,2.2134,2.1655,2.1129,2.0554,1.9931,1.9261,1.8541,1.7773,1.6955,1.6086,1.5164,1.4188,1.3156,1.2065,1.0912,0.96959,0.84142
2.2932,2.2576,2.2168,2.1709,2.12,2.0642,2.0039,1.939,1.8698,1.7964,1.7187,1.6368,1.5505,1.4598,1.3644,1.264,1.1585,1.0475,0.93053,0.8074
2.2563,2.2182,2.1756,2.1287,2.0777,2.0227,1.9636,1.9005,1.8334,1.7624,1.6873,1.6081,1.5247,1.4369,1.3445,1.2473,1.145,1.0373,0.92377,0.80411
2.2168,2.1766,2.1321,2.0834,2.0308,1.9743,1.9142,1.8506,1.7838,1.7137,1.6404,1.564,1.4843,1.4012,1.3145,1.2239,1.1292,1.0297,0.92522,0.81502
