it,matern,SE
1,0.21428783157615472,0.21993690929371862
2,0.23680636672240335,0.23085412661917315
3,0.1856975549738294,0.21014235514572177
4,0.10550436168730126,0.08833135846071655
5,0.10133490907244748,0.08463993622846994
