t,inp,resp
0,-0.0145563240982923,0.942187895363742
0.0199999999999996,-0.0158043470585879,0.768842123615226
0.0399999999999991,-0.0186201129102129,0.627388882784323
0.0600000000000005,-0.0198181636228384,0.511960515886548
0.0800000000000001,-0.00836494487154153,0.417768910191104
0.0999999999999996,0.049397473312341,0.340906880328519
0.119999999999999,1.4238258903339,0.278186093364777
0.139999999999999,3.50149190292609,1.06601364279856
0.159999999999998,7.73007259358586,5.06493029170486
0.180000000000001,10.9855978025404,8.32811758548605
0.200000000000001,13.3183529114064,10.9909365937314
0.220000000000001,14.6030833321887,13.1638443383644
0.24,15.6567094540862,14.9369758153838
0.26,16.9474829012926,16.3838827602499
0.279999999999999,18.4218469269474,17.5645846287098
0.299999999999999,19.6892229249157,18.528058408585
0.319999999999999,20.4376958770233,19.3142701793279
0.340000000000002,20.7251546671846,19.9558329988823
0.360000000000001,20.8452607153575,20.4793596668558
0.380000000000001,21.0508688504651,20.9065666085742
0.4,21.3776520868692,21.2551752971853
0.42,21.6912426796777,21.5396465128339
0.44,21.8564079314813,21.7717800974648
0.459999999999999,21.8681606226037,21.9612051180301
0.479999999999999,21.8291332324459,22.1157791268051
0.499999999999998,21.845988574359,22.2419142781914
0.520000000000001,21.9375633391724,22.3448428167687
0.540000000000001,22.0482181849335,22.4288344098376
0.56,22.1073361702613,22.4973731527791
0.58,22.1071681928001,22.553301920381
0.6,22.1026387618538,22.598940654424
0.619999999999999,22.1423643464879,22.636182757728
0.639999999999999,22.2219491386401,22.6665731019046
0.659999999999998,22.2981081084414,22.6913721208334
0.680000000000001,22.339635164604,22.7116084309822
0.700000000000001,22.3536379824464,22.7281216587502
0.720000000000001,22.3761532739553,22.7415968227407
0.74,22.4267633494497,22.7525927968447
0.76,22.4967871242812,22.7615656461612
0.779999999999999,22.5587835615344,22.7688875587594
0.799999999999999,22.5969113113517,22.7748623786532
0.820000000000002,22.6228306407473,22.7797379512041
0.840000000000002,22.6546714956098,22.7837165384905
0.860000000000001,22.7003200744499,22.7869631863782
0.880000000000001,22.7547392298702,22.7896124641291
0.9,22.7973243702937,22.7917742668077
0.92,22.8291480114085,22.7935383167348
0.94,22.8548618958473,22.7949777564717
0.960000000000003,22.8827047474033,22.7961524018564
0.980000000000002,22.917464829897,22.7971109887737
1,22.9500733256657,22.7978932662635
1.02,22.9785806567119,22.7985316988527
1.04,23.0011362215281,22.7990526836072
1.06,23.0224382141491,22.7994778350229
1.08,23.0452075790429,22.7998247661594
1.1,23.0666452151241,22.8001078805011
1.12,23.0871687704074,22.8003389253744
1.14,23.1069919521279,22.8005274620873
1.16,23.123753229112,22.8006813113714
1.18,23.1412462177078,22.8008066944658
1.2,23.1606042434377,22.8009087683091
1.22,23.1808499776366,22.8009921992924
1.24,23.2004542052019,22.8010604038694
1.26,23.2187275077154,22.8011159717306
1.28,23.2364304418612,22.8011613680569
1.3,23.2537372320152,22.801198486726
1.32,23.2755667449126,22.8012288879078
1.34,23.2949031923789,22.8012536888169
1.36,23.3120268977188,22.8012739163051
1.38,23.3275718191674,22.8012904222961
1.4,23.3421297559323,22.8013038566947
1.42,23.3604866455528,22.8013147672268
1.44,23.3743633678168,22.8013236894581
1.46,23.3833344128758,22.8013309987219
1.48,23.3956686194893,22.801336958653
1.5,23.4063258280496,22.8013417154072
1.52,23.4189922401037,22.8013455589345
1.54,23.4069931264782,22.8013488628082
1.56,23.0056770027918,22.8013514883363
1.58,20.9298276764806,22.8013535250765
1.6,16.4947210559214,19.4453198215045
1.62,10.7156463345109,11.6726834265594
1.64,5.22265257223053,5.33007358526409
1.66,1.13905080515008,0.154390940753881
1.68,-1.74148271719766,-4.06905838941126
1.7,-5.15575035849936,-7.515468425146
1.72,-8.18654207063761,-10.3278005756414
1.74,-12.0141242385018,-12.6227136894447
1.76,-14.426231542831,-14.4954036076333
1.78,-15.5321168715643,-16.0235519250333
1.8,-16.1410494485296,-17.2705481360044
1.82,-16.6712433214738,-18.2881193717108
1.84,-17.8405185041792,-19.1184757632986
1.86,-19.1882736323717,-19.796061410675
1.88,-19.5977421351883,-20.3489834190877
1.9,-19.2743851020537,-20.8001776376014
1.92,-18.8096554150751,-21.1683601327661
1.94,-18.9078133990996,-21.4688035650257
1.96,-19.5500416560074,-21.713970746037
1.98,-20.5009192160287,-21.9140315117546
2,-20.7747618634253,-22.0772845979312
2.02,-20.5113265248891,-22.2105019899571
2.04,-20.0638604711443,-22.3192098293866
2.06,-19.7893632994262,-22.4079173338906
2.08,-19.9118521809409,-22.480304321953
2.1,-20.2169532679364,-22.5393735188553
2.12,-20.5953015341151,-22.5875749542525
2.14,-20.7403836519478,-22.6269080611734
2.16,-20.7803585941316,-22.6590046357422
2.18,-20.7735237297874,-22.6851960751155
2.2,-20.8121393402193,-22.7065686575115
2.22,-20.9108756953316,-22.7240089727254
2.24,-21.0712366301249,-22.7382407546222
2.26,-21.1769700403761,-22.7498544029619
2.28,-21.2798051435845,-22.7593312523414
2.3,-21.3471984111793,-22.7670643882866
2.32,-21.4397988510091,-22.7733746784868
2.34,-21.557677413244,-22.7785238578732
2.36,-21.6759106380533,-22.7827256800722
2.38,-21.7419385470563,-22.7861544101987
2.4,-21.8191069368551,-22.7889522675514
2.42,-21.8801081842814,-22.7912355206325
2.44,-21.9515643922627,-22.7930989232469
2.46,-22.0264258798058,-22.7946194428072
2.48,-22.0987520037272,-22.795860101716
2.5,-22.1456535377855,-22.7968725328844
2.52,-22.1898974038615,-22.7976986553514
2.54,-22.2507800545646,-22.7983729205001
2.56,-22.3022151597576,-22.7989233346113
2.58,-22.3478554532148,-22.7993724211977
2.6,-22.3889039798593,-22.7997387615734
2.62,-22.4253466523929,-22.8000377018526
2.64,-22.4643236967904,-22.8002815504278
2.66,-22.5030173141596,-22.8004803971785
2.68,-22.5494639544256,-22.8006427017254
2.7,-22.5824349919377,-22.8007752158348
2.72,-22.6138918278655,-22.8008833422442
2.74,-22.6438388692214,-22.8009716244223
2.76,-22.6719406547999,-22.8010436605258
2.78,-22.7024297858131,-22.8011024376787
2.8,-22.7399614549291,-22.8011503964652
2.82,-22.7751323955619,-22.8011895250627
2.84,-22.7989540757311,-22.8012214354847
2.86,-22.8197402295586,-22.8012474461412
