it,matern_mean,SE_mean,matern_max,SE_max
1,0.4442539420772415,0.4389876122445442,0.8353196987882257,0.836835466325283
2,0.2271789419606202,0.24613279470804542,0.6695299595594406,0.6380568742752075
3,0.1741794966132964,0.2237297499195022,0.40569740533828735,0.4503210186958313
4,0.2623110895786472,0.30195984218181143,0.5079413950443268,0.5918671488761902
5,0.2486137344404967,0.2705380961809899,0.461024634540081,0.4553054589778185
