,x,y,r1,r2,rot
0,1.4006,0.81437,0.325,0.325,0.0
1,1.3413,0.71411,0.3284636722546901,0.3284636722546901,0.0
2,1.2857,0.61286,0.32976680214543774,0.3295051481534751,0.0
3,1.2336,0.51051,0.3318840210701123,0.3309463256134154,0.0
4,1.1841,0.40702,0.3347467947745046,0.3328403186815231,0.0
5,1.1364,0.30248,0.3382089984380331,0.3351325447196245,0.0
6,1.0895,0.19709,0.34216905450535207,0.3377559380646721,0.0
7,1.0425,0.091132,0.34656356879131817,0.34065371319174975,0.0
8,0.99434,-0.014971,0.35135142074340586,0.3437815676008152,0.0
9,0.94393,-0.12072,0.3565037280687699,0.34710449986918296,0.0
10,0.89013,-0.22551,0.3619987066651795,0.3505950962951695,0.0
11,0.83174,-0.32867,0.3678216706210185,0.3542298594201888,0.0
12,0.76753,-0.42949,0.3739579340246706,0.3579894527939461,0.0
13,0.69639,-0.52731,0.3803928109645196,0.3618616381567613,0.0
14,0.61744,-0.62169,0.3871165108328213,0.365829281945082,0.0
15,0.53039,-0.7127,0.3941192430218315,0.3698874888550362,0.0
16,0.43539,-0.80083,0.401383873967998,0.37402646827887975,0.0
17,0.33288,-0.88684,0.4089006130635766,0.37823887726080446,0.0
18,0.2233,-0.97149,0.41665232674501507,0.3825247158008104,0.0
19,0.10706,-1.0555,0.42462677675263316,0.3868815362469614,0.0
