,x,y
257,-6.8352,-3.8528
258,-6.9223,-3.8313
259,-7.0077,-3.8077
260,-7.0915,-3.7821
261,-7.1734,-3.7548
262,-7.2542,-3.7252
263,-7.3344,-3.6931
264,-7.4132,-3.6589
265,-7.4909,-3.6222
266,-7.567,-3.5836
267,-7.6421,-3.5427
268,-7.7154,-3.5001
269,-7.7865,-3.4562
270,-7.8555,-3.4107
271,-7.9225,-3.3639
272,-7.9876,-3.3152
273,-8.0509,-3.2653
274,-8.1126,-3.2136
275,-8.1732,-3.1596
276,-8.2321,-3.104
277,-8.2893,-3.0467
278,-8.3449,-2.9873
279,-8.3985,-2.9267
280,-8.4502,-2.8647
281,-8.4999,-2.8023
282,-8.5478,-2.7388
283,-8.5944,-2.6735
284,-8.6395,-2.607
285,-8.6832,-2.5388
286,-8.7253,-2.4697
287,-8.7657,-2.4004
288,-8.8045,-2.3306
289,-8.8417,-2.2608
290,-8.8772,-2.1914
291,-8.9111,-2.1218
292,-8.9437,-2.0521
293,-8.9748,-1.9818
294,-9.0044,-1.9117
295,-9.0327,-1.8413
296,-9.0596,-1.7711
297,-9.0849,-1.7005
298,-9.1087,-1.6305
299,-9.1312,-1.5604
300,-9.1521,-1.4906
301,-9.1717,-1.4206
302,-9.1898,-1.3508
303,-9.2064,-1.2819
304,-9.2215,-1.2132
305,-9.2352,-1.145
306,-9.2474,-1.0767
307,-9.2581,-1.009
308,-9.2673,-0.94141
309,-9.2749,-0.8745
310,-9.281,-0.80788
311,-9.2855,-0.7413
312,-9.2885,-0.67543
313,-9.2899,-0.60975
314,-9.2897,-0.54418
315,-9.288,-0.47933
316,-9.2848,-0.41494
317,-9.2802,-0.35159
318,-9.2741,-0.28892
319,-9.2669,-0.22704
320,-9.2582,-0.1655
321,-9.2482,-0.10439
322,-9.2366,-0.043089
323,-9.2237,0.017919
324,-9.2098,0.07818
325,-9.1946,0.13836
326,-9.1786,0.19776
327,-9.1618,0.25576
328,-9.1441,0.31294
329,-9.1259,0.36893
330,-9.1068,0.42471
331,-9.0864,0.48084
332,-9.0651,0.53663
333,-9.0426,0.59252
334,-9.0194,0.64763
335,-8.9961,0.70165
336,-8.9723,0.75519
337,-8.948,0.8081
338,-8.9228,0.86099
339,-8.8972,0.91344
340,-8.8713,0.96492
341,-8.845,1.0158
342,-8.8186,1.0657
343,-8.7919,1.1151
