,x,y,r
193,-7.873,-3.3402,0.325
194,-7.9755,-3.2685,0.325
195,-8.0739,-3.1929,0.325
196,-8.1682,-3.1134,0.325
197,-8.2587,-3.03,0.325
198,-8.3453,-2.9429,0.325
199,-8.4283,-2.8522,0.325
200,-8.5072,-2.7584,0.325
201,-8.5821,-2.6614,0.325
202,-8.6531,-2.5614,0.325
203,-8.7202,-2.4583,0.325
204,-8.7833,-2.3531,0.325
205,-8.8424,-2.2462,0.325
206,-8.8975,-2.1386,0.325
207,-8.9486,-2.0301,0.325
208,-8.996,-1.9204,0.325
209,-9.0394,-1.8106,0.325
210,-9.0789,-1.701,0.325
211,-9.1146,-1.5915,0.325
212,-9.1467,-1.4817,0.325
213,-9.1751,-1.3714,0.325
214,-9.1997,-1.2612,0.325
215,-9.2204,-1.1516,0.325
216,-9.2374,-1.0435,0.325
217,-9.2509,-0.93721,0.325
218,-9.2609,-0.83241,0.325
219,-9.2674,-0.72882,0.325
220,-9.2705,-0.6264,0.325
221,-9.2702,-0.52525,0.325
222,-9.2666,-0.42562,0.325
223,-9.2598,-0.32747,0.325
224,-9.2499,-0.23036,0.325
225,-9.2371,-0.13406,0.325
226,-9.2215,-0.039006,0.325
227,-9.2033,0.0547,0.325
228,-9.1826,0.14666,0.325
229,-9.1597,0.23709,0.325
230,-9.1342,0.32634,0.325
231,-9.1067,0.41396,0.325
232,-9.0773,0.49995,0.325
233,-9.0459,0.58475,0.325
234,-9.0126,0.66852,0.325
235,-8.9779,0.75069,0.325
236,-8.9418,0.83133,0.325
237,-8.9041,0.91081,0.325
238,-8.8651,0.98901,0.325
239,-8.825,1.066,0.325
240,-8.7836,1.1419,0.325
241,-8.7413,1.2162,0.325
242,-8.6986,1.2887,0.325
243,-8.6554,1.3593,0.325
244,-8.6117,1.4281,0.325
245,-8.5672,1.4954,0.325
246,-8.522,1.5613,0.325
247,-8.4757,1.6262,0.325
248,-8.4281,1.6904,0.325
249,-8.3792,1.7539,0.325
250,-8.329,1.8165,0.325
251,-8.2776,1.8782,0.325
252,-8.225,1.9389,0.325
253,-8.1713,1.9983,0.325
254,-8.1164,2.0567,0.325
255,-8.0597,2.1143,0.325
256,-8.0008,2.1714,0.325
257,-7.9404,2.2274,0.325
258,-7.8783,2.2825,0.325
259,-7.8141,2.3368,0.325
260,-7.7479,2.3901,0.325
261,-7.6791,2.4427,0.325
262,-7.6074,2.4947,0.325
263,-7.5331,2.5458,0.325
264,-7.4563,2.5959,0.325
265,-7.3769,2.645,0.325
266,-7.2948,2.6931,0.325
267,-7.2096,2.7403,0.325
268,-7.1214,2.7864,0.325
269,-7.0302,2.8312,0.325
270,-6.936,2.8746,0.325
271,-6.8396,2.9162,0.325
272,-6.7412,2.956,0.325
273,-6.6403,2.9937,0.325
274,-6.5373,3.0294,0.325
275,-6.4322,3.0627,0.325
276,-6.3259,3.0936,0.325
277,-6.2183,3.1219,0.325
278,-6.1092,3.1475,0.325
279,-5.9987,3.1703,0.325
280,-5.8879,3.1904,0.325
281,-5.7772,3.2078,0.325
282,-5.6664,3.2223,0.325
283,-5.556,3.2339,0.325
284,-5.4459,3.2426,0.325
285,-5.3356,3.2482,0.325
286,-5.2247,3.2506,0.325
287,-5.1143,3.2502,0.325
288,-5.0048,3.2469,0.325
289,-4.8962,3.2407,0.325
290,-4.7878,3.2315,0.325
291,-4.6802,3.2193,0.325
292,-4.5739,3.2045,0.325
293,-4.4688,3.187,0.325
294,-4.3645,3.1668,0.325
295,-4.2615,3.144,0.325
296,-4.1596,3.1186,0.325
297,-4.0579,3.09,0.325
298,-3.9568,3.0586,0.325
299,-3.8565,3.0246,0.325
300,-3.7579,2.9885,0.325
301,-3.6612,2.9506,0.325
302,-3.5661,2.9106,0.325
303,-3.4723,2.8685,0.325
304,-3.3804,2.8245,0.325
305,-3.2905,2.7788,0.325
306,-3.2019,2.7313,0.325
307,-3.1149,2.6825,0.325
308,-3.0295,2.6324,0.325
309,-2.9463,2.5817,0.325
310,-2.8654,2.5305,0.325
311,-2.7868,2.4786,0.325
312,-2.7098,2.4259,0.325
313,-2.6341,2.3724,0.325
314,-2.5596,2.3178,0.325
315,-2.4864,2.2622,0.325
316,-2.4147,2.2064,0.325
317,-2.3448,2.1506,0.325
318,-2.2763,2.0943,0.325
319,-2.2092,2.0375,0.325
320,-2.1436,1.9803,0.325
321,-2.0795,1.9225,0.325
322,-2.0168,1.8638,0.325
323,-1.9559,1.8043,0.325
324,-1.8966,1.7436,0.325
325,-1.8392,1.6811,0.325
326,-1.7841,1.6173,0.325
327,-1.7316,1.5519,0.325
328,-1.6821,1.4857,0.325
329,-1.6354,1.4184,0.325
330,-1.5912,1.3489,0.325
331,-1.5492,1.2768,0.325
332,-1.5093,1.2024,0.325
333,-1.4717,1.1257,0.325
334,-1.4363,1.0466,0.325
335,-1.4032,0.96562,0.325
336,-1.3723,0.88278,0.325
337,-1.3433,0.79759,0.325
338,-1.3161,0.71056,0.325
339,-1.2903,0.62246,0.325
340,-1.2652,0.53297,0.325
341,-1.2399,0.44149,0.325
342,-1.2134,0.34804,0.325
343,-1.1855,0.25362,0.325
344,-1.1556,0.15889,0.325
345,-1.1226,0.063932,0.325
346,-1.0861,-0.030186,0.325
347,-1.045,-0.12242,0.325
348,-0.9989,-0.21166,0.325
349,-0.94741,-0.29736,0.325
350,-0.89087,-0.37854,0.325
351,-0.82923,-0.45527,0.325
352,-0.76281,-0.52859,0.325
353,-0.69284,-0.59821,0.325
354,-0.62001,-0.66455,0.325
355,-0.54492,-0.72843,0.325
356,-0.46865,-0.79002,0.325
357,-0.39121,-0.84971,0.325
358,-0.31266,-0.90819,0.325
359,-0.23332,-0.96604,0.325
360,-0.15336,-1.0238,0.325
361,-0.073461,-1.0814,0.325
362,0.0061713,-1.1388,0.325
363,0.085839,-1.196,0.325
364,0.16591,-1.2528,0.325
365,0.24613,-1.3094,0.325
366,0.32572,-1.3656,0.325
367,0.40438,-1.4211,0.325
368,0.48209,-1.4756,0.325
369,0.55916,-1.529,0.325
