,x,y
249,-8.8479,1.0684
250,-8.8055,1.1446
251,-8.7623,1.2192
252,-8.7189,1.292
253,-8.6751,1.363
254,-8.6308,1.4323
255,-8.5858,1.5001
256,-8.5402,1.5664
257,-8.4936,1.6315
258,-8.4464,1.6951
259,-8.3984,1.7573
260,-8.3492,1.8186
261,-8.2989,1.8789
262,-8.2472,1.9384
263,-8.1941,1.9969
264,-8.1397,2.0548
265,-8.0835,2.112
266,-8.0262,2.1682
267,-7.9676,2.2233
268,-7.907,2.2776
269,-7.8437,2.3314
270,-7.7778,2.3846
271,-7.7092,2.4371
272,-7.6384,2.4887
273,-7.5653,2.5391
274,-7.4894,2.5889
275,-7.4103,2.6379
276,-7.3279,2.6862
277,-7.2422,2.7337
278,-7.1532,2.7802
279,-7.0609,2.8253
280,-6.9664,2.8689
281,-6.8701,2.9106
282,-6.7715,2.9502
283,-6.6701,2.9876
284,-6.5661,3.0228
285,-6.4596,3.0556
286,-6.3512,3.0858
287,-6.2412,3.1135
288,-6.1294,3.1383
289,-6.016,3.1604
290,-5.9023,3.1796
291,-5.7885,3.1955
292,-5.6747,3.2084
293,-5.5613,3.2182
294,-5.4484,3.2247
295,-5.3353,3.2278
296,-5.2221,3.2277
297,-5.1095,3.2245
298,-4.9979,3.2181
299,-4.8872,3.2087
300,-4.7771,3.1962
301,-4.6675,3.1805
302,-4.5582,3.1615
303,-4.4493,3.1393
304,-4.3409,3.1139
305,-4.2326,3.0853
306,-4.1245,3.0536
307,-4.0169,3.0189
308,-3.9105,2.9815
309,-3.8055,2.9418
310,-3.7015,2.8996
311,-3.5981,2.8549
312,-3.4952,2.8078
313,-3.3937,2.7587
314,-3.2937,2.7081
315,-3.1948,2.656
316,-3.0975,2.6026
317,-3.0015,2.548
318,-2.9068,2.4919
319,-2.813,2.4345
320,-2.7201,2.3759
321,-2.6282,2.3164
322,-2.5374,2.2561
323,-2.4475,2.1947
324,-2.3582,2.1326
325,-2.2696,2.0693
326,-2.182,2.0053
327,-2.0955,1.9406
328,-2.0095,1.8747
329,-1.9246,1.8077
330,-1.8404,1.7395
331,-1.7571,1.6696
332,-1.6748,1.5978
333,-1.5944,1.5247
334,-1.5161,1.4506
335,-1.4396,1.3756
336,-1.3649,1.2998
337,-1.2923,1.2235
338,-1.2209,1.1461
339,-1.1503,1.067
340,-1.0801,0.98613
341,-1.0102,0.90345
342,-0.94042,0.81899
343,-0.87083,0.73307
344,-0.80127,0.64599
345,-0.73155,0.55796
346,-0.66213,0.46947
347,-0.5931,0.381
348,-0.52411,0.29263
349,-0.45531,0.20454
350,-0.38618,0.11603
351,-0.31627,0.026664
352,-0.24607,-0.062704
353,-0.17564,-0.15195
354,-0.10478,-0.24094
355,-0.032951,-0.32995
356,0.04026,-0.41923
357,0.11449,-0.50848
358,0.18953,-0.59787
359,0.26552,-0.6873
360,0.34185,-0.77579
361,0.41844,-0.86279
362,0.49507,-0.94844
363,0.57213,-1.0337
364,0.6502,-1.1187
365,0.72922,-1.203
366,0.80952,-1.2869
367,0.89076,-1.3699
368,0.97285,-1.4526
369,1.0562,-1.5347
370,1.1405,-1.6164
371,1.2258,-1.6971
372,1.3116,-1.7766
373,1.3979,-1.8548
374,1.4853,-1.9316
375,1.5744,-2.0069
376,1.6649,-2.0812
377,1.7564,-2.1537
378,1.8492,-2.2242
379,1.9431,-2.2931
380,2.0378,-2.3602
381,2.1331,-2.4256
382,2.2294,-2.4895
383,2.3267,-2.5521
384,2.4246,-2.6135
385,2.5232,-2.6738
386,2.6224,-2.7328
387,2.7221,-2.7905
388,2.8226,-2.8469
389,2.924,-2.9022
390,3.0263,-2.9563
391,3.1287,-3.0092
392,3.2304,-3.061
393,3.3316,-3.1117
394,3.4336,-3.1616
395,3.5366,-3.2104
396,3.64,-3.2579
397,3.7437,-3.304
398,3.849,-3.3483
399,3.9566,-3.3905
400,4.0661,-3.4303
401,4.1781,-3.4676
402,4.2922,-3.5027
403,4.4071,-3.5355
404,4.5227,-3.5658
405,4.6382,-3.5938
406,4.7546,-3.6189
407,4.8719,-3.6414
408,4.9896,-3.6612
409,5.1076,-3.6781
410,5.2261,-3.6922
411,5.3453,-3.7035
412,5.4645,-3.7122
413,5.5835,-3.718
414,5.7034,-3.7205
415,5.8236,-3.7198
416,5.944,-3.7155
417,6.0644,-3.7079
418,6.1852,-3.6967
419,6.3056,-3.6818
420,6.4248,-3.6637
421,6.5429,-3.6423
422,6.6605,-3.6175
423,6.7775,-3.5897
424,6.8939,-3.5589
425,7.0098,-3.5251
426,7.1254,-3.4882
427,7.2409,-3.4485
428,7.356,-3.4058
429,7.4701,-3.3598
430,7.583,-3.3101
431,7.694,-3.256
432,7.803,-3.1971
433,7.9092,-3.1336
434,8.0126,-3.065
435,8.1133,-2.9911
436,8.2113,-2.9122
437,8.3063,-2.8284
438,8.3981,-2.74
439,8.4861,-2.6484
440,8.5701,-2.5541
441,8.6503,-2.457
442,8.727,-2.3571
443,8.8003,-2.2553
444,8.8703,-2.1516
445,8.9372,-2.0463
446,9.001,-1.9402
447,9.0616,-1.8337
448,9.1194,-1.7269
449,9.1745,-1.62
450,9.2279,-1.5132
451,9.28,-1.4072
452,9.3297,-1.3051
453,9.3763,-1.2094
454,9.4193,-1.1217
455,9.4587,-1.0428
