,x,y,r
193,-6.2601,-3.6781,0.325
194,-6.3785,-3.6632,0.325
195,-6.497,-3.6447,0.325
196,-6.615,-3.6229,0.325
197,-6.7321,-3.5977,0.325
198,-6.8487,-3.569,0.325
199,-6.9645,-3.5367,0.325
200,-7.0798,-3.5005,0.325
201,-7.1946,-3.46,0.325
202,-7.3086,-3.4153,0.325
203,-7.4205,-3.3674,0.325
204,-7.53,-3.3162,0.325
205,-7.6373,-3.2614,0.325
206,-7.7427,-3.2024,0.325
207,-7.8458,-3.1393,0.325
208,-7.9463,-3.0723,0.325
209,-8.0443,-3.0012,0.325
210,-8.1396,-2.9259,0.325
211,-8.2318,-2.8465,0.325
212,-8.3206,-2.763,0.325
213,-8.406,-2.676,0.325
214,-8.4877,-2.5856,0.325
215,-8.5658,-2.492,0.325
216,-8.6403,-2.3952,0.325
217,-8.7111,-2.296,0.325
218,-8.7779,-2.1949,0.325
219,-8.8407,-2.0929,0.325
220,-8.8996,-1.9898,0.325
221,-8.9546,-1.8851,0.325
222,-9.0057,-1.7787,0.325
223,-9.0528,-1.6716,0.325
224,-9.0956,-1.5645,0.325
225,-9.1342,-1.4572,0.325
226,-9.1688,-1.3497,0.325
227,-9.1992,-1.2425,0.325
228,-9.2254,-1.1358,0.325
229,-9.2476,-1.0293,0.325
230,-9.2658,-0.92374,0.325
231,-9.2802,-0.81958,0.325
232,-9.2909,-0.71675,0.325
233,-9.2978,-0.6154,0.325
234,-9.3008,-0.51545,0.325
235,-9.3001,-0.41704,0.325
236,-9.2959,-0.32004,0.325
237,-9.2883,-0.22417,0.325
238,-9.2773,-0.12921,0.325
239,-9.2632,-0.035506,0.325
240,-9.2461,0.056865,0.325
241,-9.2262,0.14755,0.325
242,-9.2039,0.23649,0.325
243,-9.1795,0.32333,0.325
244,-9.1532,0.40818,0.325
245,-9.1248,0.49155,0.325
246,-9.0943,0.57382,0.325
247,-9.0623,0.65444,0.325
248,-9.0289,0.7335,0.325
249,-8.9939,0.81125,0.325
250,-8.9577,0.88756,0.325
251,-8.9202,0.96249,0.325
252,-8.882,1.0358,0.325
253,-8.843,1.1076,0.325
254,-8.8031,1.1782,0.325
255,-8.762,1.248,0.325
256,-8.7197,1.317,0.325
257,-8.6765,1.3848,0.325
258,-8.6325,1.4517,0.325
259,-8.5878,1.5172,0.325
260,-8.5425,1.5813,0.325
261,-8.4962,1.6444,0.325
262,-8.4488,1.7068,0.325
263,-8.4004,1.7683,0.325
264,-8.3508,1.8291,0.325
265,-8.3003,1.8888,0.325
266,-8.2486,1.9476,0.325
267,-8.1958,2.0053,0.325
268,-8.1418,2.0621,0.325
269,-8.0861,2.1182,0.325
270,-8.0292,2.1731,0.325
271,-7.9711,2.2268,0.325
272,-7.9111,2.2797,0.325
273,-7.8485,2.3322,0.325
274,-7.7834,2.3841,0.325
275,-7.7158,2.4354,0.325
276,-7.646,2.4859,0.325
277,-7.5737,2.5356,0.325
278,-7.4986,2.5844,0.325
279,-7.4204,2.6325,0.325
280,-7.3397,2.6795,0.325
281,-7.2562,2.7255,0.325
282,-7.1701,2.77,0.325
283,-7.081,2.8133,0.325
284,-6.9894,2.8552,0.325
285,-6.8956,2.8956,0.325
286,-6.7993,2.9342,0.325
287,-6.701,2.9707,0.325
288,-6.6009,3.0052,0.325
289,-6.4995,3.0374,0.325
290,-6.3963,3.0671,0.325
291,-6.2911,3.0944,0.325
292,-6.1846,3.1191,0.325
293,-6.077,3.1409,0.325
294,-5.968,3.1598,0.325
295,-5.8576,3.1758,0.325
296,-5.747,3.189,0.325
297,-5.6362,3.1994,0.325
298,-5.5248,3.2068,0.325
299,-5.4132,3.2113,0.325
300,-5.3017,3.213,0.325
301,-5.1901,3.2115,0.325
302,-5.0781,3.2071,0.325
303,-4.9661,3.1996,0.325
304,-4.8543,3.1893,0.325
305,-4.7427,3.1759,0.325
306,-4.6315,3.1595,0.325
307,-4.5208,3.1401,0.325
308,-4.4112,3.1182,0.325
309,-4.303,3.0939,0.325
310,-4.1956,3.067,0.325
311,-4.0895,3.0375,0.325
312,-3.9841,3.0053,0.325
313,-3.8792,2.9702,0.325
314,-3.7752,2.9328,0.325
315,-3.6724,2.8934,0.325
316,-3.5707,2.8519,0.325
317,-3.47,2.8082,0.325
318,-3.3709,2.7627,0.325
319,-3.2734,2.7158,0.325
320,-3.1771,2.6672,0.325
321,-3.0822,2.6172,0.325
322,-2.9886,2.5658,0.325
323,-2.8961,2.5131,0.325
324,-2.8043,2.4589,0.325
325,-2.713,2.4034,0.325
326,-2.6224,2.3467,0.325
327,-2.5325,2.289,0.325
328,-2.4434,2.2303,0.325
329,-2.3549,2.1708,0.325
330,-2.2678,2.1106,0.325
331,-2.1821,2.05,0.325
332,-2.0974,1.9885,0.325
333,-2.0141,1.9263,0.325
334,-1.9317,1.8631,0.325
335,-1.8501,1.7982,0.325
336,-1.7703,1.7319,0.325
337,-1.6927,1.6641,0.325
338,-1.6175,1.5944,0.325
339,-1.5448,1.5226,0.325
340,-1.4753,1.4494,0.325
341,-1.4094,1.3742,0.325
342,-1.3472,1.2964,0.325
343,-1.2891,1.2165,0.325
344,-1.2354,1.1338,0.325
345,-1.1865,1.0476,0.325
346,-1.1427,0.95799,0.325
347,-1.1037,0.86524,0.325
348,-1.0697,0.76997,0.325
349,-1.0404,0.67232,0.325
350,-1.0152,0.57215,0.325
351,-0.99317,0.46912,0.325
352,-0.97318,0.36311,0.325
353,-0.95367,0.2553,0.325
354,-0.93286,0.14607,0.325
355,-0.90913,0.035651,0.325
356,-0.88079,-0.075034,0.325
357,-0.84585,-0.18448,0.325
358,-0.8027,-0.29035,0.325
359,-0.7497,-0.39076,0.325
360,-0.686,-0.48418,0.325
361,-0.61278,-0.56954,0.325
362,-0.53148,-0.64764,0.325
363,-0.44304,-0.7203,0.325
364,-0.34868,-0.78899,0.325
365,-0.25008,-0.8545,0.325
366,-0.1483,-0.91789,0.325
367,-0.044189,-0.98025,0.325
368,0.061208,-1.0417,0.325
369,0.16684,-1.1025,0.325
370,0.27212,-1.1631,0.325
371,0.37696,-1.2242,0.325
372,0.48154,-1.2865,0.325
373,0.58522,-1.3498,0.325
374,0.68812,-1.4139,0.325
375,0.7898,-1.4785,0.325
376,0.89015,-1.5432,0.325
377,0.99008,-1.6076,0.325
378,1.0898,-1.6705,0.325
379,1.1892,-1.731,0.325
380,1.2883,-1.7878,0.325
381,1.3873,-1.8403,0.325
382,1.487,-1.8875,0.325
383,1.5879,-1.9288,0.325
384,1.6898,-1.963,0.325
385,1.7929,-1.9901,0.325
386,1.8982,-2.0104,0.325
387,2.0058,-2.0237,0.325
388,2.1162,-2.0302,0.325
389,2.2291,-2.0314,0.325
390,2.345,-2.0287,0.325
391,2.4634,-2.024,0.325
392,2.5834,-2.0189,0.325
393,2.7038,-2.0156,0.325
394,2.8234,-2.0161,0.325
395,2.9417,-2.0223,0.325
396,3.0581,-2.0361,0.325
397,3.1714,-2.0594,0.325
398,3.2804,-2.0937,0.325
399,3.3842,-2.1397,0.325
400,3.4827,-2.197,0.325
401,3.5752,-2.2653,0.325
402,3.6625,-2.3435,0.325
403,3.7459,-2.4289,0.325
404,3.8269,-2.519,0.325
405,3.9064,-2.6127,0.325
406,3.9854,-2.7089,0.325
407,4.0654,-2.8058,0.325
408,4.1478,-2.9015,0.325
409,4.233,-2.9945,0.325
410,4.3214,-3.084,0.325
411,4.4126,-3.1693,0.325
412,4.5062,-3.2497,0.325
413,4.602,-3.3248,0.325
414,4.7008,-3.3936,0.325
415,4.8017,-3.4559,0.325
416,4.9045,-3.5119,0.325
417,5.0082,-3.5619,0.325
418,5.1128,-3.6058,0.325
419,5.2189,-3.6437,0.325
420,5.3269,-3.6758,0.325
421,5.4362,-3.7022,0.325
422,5.5465,-3.7228,0.325
423,5.6572,-3.738,0.325
424,5.7683,-3.748,0.325
425,5.8804,-3.7527,0.325
426,5.9927,-3.7527,0.325
427,6.1047,-3.7484,0.325
428,6.2171,-3.7395,0.325
429,6.3308,-3.7258,0.325
430,6.4447,-3.7081,0.325
431,6.5579,-3.6871,0.325
432,6.6711,-3.6626,0.325
433,6.7843,-3.6349,0.325
434,6.8978,-3.6042,0.325
435,7.0116,-3.5703,0.325
436,7.1259,-3.5336,0.325
437,7.2408,-3.494,0.325
438,7.356,-3.4515,0.325
439,7.4711,-3.4057,0.325
440,7.5853,-3.3562,0.325
441,7.6983,-3.3022,0.325
442,7.8098,-3.2431,0.325
443,7.919,-3.1791,0.325
444,8.0253,-3.1103,0.325
445,8.1281,-3.0372,0.325
446,8.2274,-2.9596,0.325
447,8.3232,-2.877,0.325
448,8.4149,-2.7905,0.325
449,8.5025,-2.7003,0.325
450,8.5863,-2.6064,0.325
451,8.6667,-2.5088,0.325
452,8.7438,-2.4075,0.325
453,8.8172,-2.303,0.325
454,8.8871,-2.1961,0.325
455,8.9532,-2.088,0.325
456,9.0155,-1.9791,0.325
457,9.0746,-1.8694,0.325
458,9.1308,-1.759,0.325
