t,inp,resp
0,-0.0143001429352011,-0.0252492382936759
0.0199999999999996,-0.0109209119560407,-0.0206038286894804
0.0399999999999991,-0.0108081162329647,-0.0168130916159869
0.0600000000000005,-0.00850058024566068,-0.0137197825679794
0.0800000000000001,-0.00841847044986206,-0.011195587225234
0.0999999999999996,-0.00718904539850353,-0.00913579881436001
0.119999999999999,-0.00942974866153634,-0.00745497474115004
0.139999999999999,-0.00925495611611118,-0.00608339232512733
0.159999999999998,-0.00862668195775327,-0.00496415661573511
0.180000000000001,-0.0108598099394315,-0.0040508403187741
0.200000000000001,-0.0139203707200629,-0.00330555793429089
0.220000000000001,-0.0149707071931351,-0.00269739421875316
0.24,-0.0139570178667502,-0.00220112178216106
0.26,-0.0124844829642764,-0.00179615462442245
0.279999999999999,-0.010583944226346,-0.00146569420237471
0.299999999999999,-0.00793523220659977,-0.00119603260524722
0.319999999999999,-0.00635848325541281,-0.00097598393341311
0.340000000000002,-0.0073963241986499,-0.000796420293311012
0.360000000000001,-0.00883688891483395,-0.000649893161027192
0.380000000000001,-0.0102245289856719,-0.000530324408226723
0.4,-0.0231631825848679,-0.000432754173803741
0.42,-0.147261222208791,-0.000353135122652123
0.44,-0.446034699668917,-0.000288164557153607
0.459999999999999,-0.866097690229457,-0.486860252760487
0.479999999999999,-1.25419667969805,-0.883911791702603
0.499999999999998,-1.52082639562319,-1.2079129276619
0.520000000000001,-1.66555958660198,-1.4723036258899
0.540000000000001,-1.77426340419968,-1.68805115023191
0.56,-1.92206536093335,-1.86410494814189
0.58,-2.10387618178046,-2.0077679866098
0.6,-2.26631782497111,-2.12499958778425
0.619999999999999,-2.34407039246266,-2.22066269067453
0.639999999999999,-2.38491089716392,-2.29872548848769
0.659999999999998,-2.38611673675289,-2.36242609718983
0.680000000000001,-2.40944484290914,-2.41440692979354
0.700000000000001,-2.45251205692486,-2.45682423670479
0.720000000000001,-2.52164405920494,-2.4914374899854
0.74,-2.55561772867586,-2.51968257959252
0.76,-2.55954916080695,-2.54273107637549
0.779999999999999,-2.54672743740838,-2.5615390139021
0.799999999999999,-2.53666586556907,-2.57688662630503
0.819999999999999,-2.54667312862895,-2.58941053638076
0.840000000000002,-2.57608111312718,-2.59963027032765
0.860000000000001,-2.59351755143855,-2.60796978931504
0.880000000000001,-2.59346169491053,-2.6147749855182
0.9,-2.5824223867795,-2.62032813582857
0.92,-2.58084467828203,-2.62485960550503
0.94,-2.58978854576269,-2.62855736556573
0.959999999999999,-2.60269879163881,-2.63157478513162
0.979999999999999,-2.60889080110806,-2.63403705330371
0.999999999999998,-2.61235233512703,-2.63604634003577
1.02,-2.61406770037368,-2.63768596861277
1.04,-2.61516341613349,-2.63902392621701
1.06,-2.62322886096509,-2.6401157234804
1.08,-2.62947133523345,-2.64100662587526
1.1,-2.63350847868675,-2.64173361811594
1.12,-2.63309851864763,-2.64232688877127
1.14,-2.63027325242793,-2.64281100820517
1.16,-2.63491817794256,-2.64320602596376
1.18,-2.64254060875863,-2.64352836749868
1.2,-2.6533335837982,-2.64379140393914
1.22,-2.65529471618568,-2.64400606070395
1.24,-2.65117034019967,-2.64418122445176
1.26,-2.65065958371351,-2.64432417371214
1.28,-2.65490798165548,-2.64444082336598
1.3,-2.66234873165084,-2.64453601410516
1.32,-2.67030782109429,-2.64461365683995
1.34,-2.67414392776529,-2.64467701619371
1.36,-2.67325883301897,-2.64472871855619
1.38,-2.67160490980252,-2.64477091010167
1.4,-2.67525185801095,-2.64480533915514
1.42,-2.68117286722097,-2.64483345029523
1.44,-2.65498222216204,-2.64485638948683
1.46,-2.3139662174265,-2.64487511060776
1.48,-1.48441579943835,-2.64489039903398
1.5,-0.571655536749538,-1.32765900773787
1.52,0.523957977496171,-0.25277467064228
1.54,1.40302847491066,0.624350115655545
1.56,1.72214985821894,1.34009958688965
1.58,2.08376137452605,1.9241639194956
1.6,2.4937878762286,2.40077078620376
1.62,2.89778089358297,2.78969049265161
1.64,3.44121339074232,3.10705593033445
1.66,3.64027782053659,3.36603178671174
1.68,3.70854207431123,3.57736070345213
1.7,3.69987342447121,3.74980886790797
1.72,3.77556896348398,3.8905296887548
1.74,3.88841972035787,4.00536038788513
1.76,4.06632548573222,4.09906425900787
1.78,4.12592605218175,4.17552828876189
1.8,4.1161235181012,4.23792430012103
1.82,4.06941055589194,4.28884055593478
1.84,4.05122196266334,4.33038912408943
1.86,4.10897806793042,4.36429347397923
1.88,4.16902735599278,4.39196003539418
1.9,4.21705926758275,4.41453646616164
1.92,4.21726058161165,4.43295920625708
1.94,4.19239220760698,4.44799252748058
1.96,4.18505995717223,4.46025998567161
1.98,4.22567997831259,4.47027040793381
2,4.26401182811094,4.47843909100461
2.02,4.2958467001638,4.48510488254856
2.04,4.30153684258873,4.49054428731214
2.06,4.29019467930459,4.49498296430007
2.08,4.2907078111503,4.49860500387227
