epochs,b10,b20,b30,b40,b50
10,26.16921830177307,15.807951927185059,10.91100025177002,8.644611597061157,7.262532949447632
20,65.24760293960571,32.893707513809204,22.740461349487305,18.059924125671387,19.363707780838013
30,112.7049868106842,57.400575160980225,44.98604965209961,35.54105734825134,28.080747842788696
40,157.25608658790588,86.05661964416504,59.954410791397095,45.52706027030945,37.64584970474243
50,200.4207489490509,101.28974199295044,69.67349290847778,53.866738080978394,45.06066942214966
