t,inp,resp
0,0,-0.0143001429352011
0.0199999999999996,0,-0.0109209119560407
0.0399999999999991,0,-0.0108081162329647
0.0600000000000005,0,-0.00850058024566068
0.0800000000000001,0,-0.00841847044986206
0.0999999999999996,0,-0.00718904539850353
0.119999999999999,0,-0.00942974866153634
0.139999999999999,0,-0.00925495611611118
0.159999999999998,0,-0.00862668195775327
0.180000000000001,0,-0.0108598099394315
0.200000000000001,0,-0.0139203707200629
0.220000000000001,0,-0.0149707071931351
0.24,0,-0.0139570178667502
0.26,0,-0.0124844829642764
0.279999999999999,0,-0.010583944226346
0.299999999999999,0,-0.00793523220659977
0.319999999999999,0,-0.00635848325541281
0.340000000000002,0,-0.0073963241986499
0.360000000000001,-2.78399988722172,-0.00883688891483395
0.380000000000001,-2.78400010727776,-0.0102245289856719
0.4,-2.78400010727776,-0.0231631825848679
0.42,-2.78400007140701,-0.147261222208791
0.44,-2.78400007140701,-0.446034699668917
0.459999999999999,-2.78399990469065,-0.866097690229457
0.479999999999999,-2.78399990469065,-1.25419667969805
0.499999999999998,-2.78399990469065,-1.52082639562319
0.520000000000001,-2.78400005269375,-1.66555958660198
0.540000000000001,-2.78400005269375,-1.77426340419968
0.56,-2.78399990210896,-1.92206536093335
0.58,-2.78399990210896,-2.10387618178046
0.6,-2.78400001990355,-2.26631782497111
0.619999999999999,-2.78399987378795,-2.34407039246266
0.639999999999999,-2.78400020394976,-2.38491089716392
0.659999999999998,-2.78400020394976,-2.38611673675289
0.680000000000001,-2.78399993593787,-2.40944484290914
0.700000000000001,-2.78399993593787,-2.45251205692486
0.720000000000001,-2.78399984827947,-2.52164405920494
0.74,-2.78399984827947,-2.55561772867586
0.76,-2.78400004193357,-2.55954916080695
0.779999999999999,-2.78400004193357,-2.54672743740838
0.799999999999999,-2.78399997819561,-2.53666586556907
0.819999999999999,-2.78399997819561,-2.54667312862895
0.840000000000002,-2.78399997819561,-2.57608111312718
0.860000000000001,-2.78399987188891,-2.59351755143855
0.880000000000001,-2.78399987188891,-2.59346169491053
0.9,-2.78400005494334,-2.5824223867795
0.92,-2.78400013946729,-2.58084467828203
0.94,-2.78400009053945,-2.58978854576269
0.959999999999999,-2.78400009053945,-2.60269879163881
0.979999999999999,-2.78399995528905,-2.60889080110806
0.999999999999998,-2.78399995528905,-2.61235233512703
1.02,-2.78400013849544,-2.61406770037368
1.04,-2.78400013849544,-2.61516341613349
1.06,-2.78399995352153,-2.62322886096509
1.08,-2.78399995352153,-2.62947133523345
1.1,-2.78399995352153,-2.63350847868675
1.12,-2.78400003555519,-2.63309851864763
1.14,-2.78400003555519,-2.63027325242793
1.16,-2.78400010717487,-2.63491817794256
1.18,-2.78400011008294,-2.64254060875863
1.2,-2.78400012462334,-2.6533335837982
1.22,-2.78399992664223,-2.65529471618568
1.24,-2.78399993521034,-2.65117034019967
1.26,-2.78399993521034,-2.65065958371351
1.28,-2.78399994376753,-2.65490798165548
1.3,-2.78399994376753,-2.66234873165084
1.32,-2.78400003769855,-2.67030782109429
