,x,y
258,-4.0838,-3.4101
259,-4.1537,-3.4349
260,-4.2237,-3.4587
261,-4.2943,-3.4818
262,-4.3654,-3.5041
263,-4.4375,-3.5256
264,-4.5099,-3.5462
265,-4.5829,-3.566
266,-4.656,-3.5848
267,-4.7296,-3.6026
268,-4.803,-3.6194
269,-4.8769,-3.6351
270,-4.9507,-3.6499
271,-5.0253,-3.6635
272,-5.1,-3.6761
273,-5.1743,-3.6876
274,-5.2486,-3.6979
275,-5.323,-3.7071
276,-5.3977,-3.7151
277,-5.4725,-3.7219
278,-5.5476,-3.7276
279,-5.6224,-3.732
280,-5.6975,-3.7352
281,-5.7732,-3.7371
282,-5.8486,-3.7378
283,-5.9244,-3.7371
284,-6.0006,-3.735
285,-6.0767,-3.7317
286,-6.1527,-3.727
287,-6.2282,-3.7212
288,-6.3034,-3.714
289,-6.3781,-3.7055
290,-6.4527,-3.6956
291,-6.5271,-3.6843
292,-6.6021,-3.6712
293,-6.677,-3.6567
294,-6.7513,-3.6408
295,-6.8256,-3.6233
296,-6.8998,-3.6042
297,-6.974,-3.5833
298,-7.0477,-3.5609
299,-7.1213,-3.5367
300,-7.194,-3.5112
301,-7.2662,-3.4839
302,-7.3375,-3.4554
303,-7.408,-3.4251
304,-7.4776,-3.3934
305,-7.5467,-3.3598
306,-7.6149,-3.3247
307,-7.6816,-3.2885
308,-7.7473,-3.2507
309,-7.8118,-3.2115
310,-7.8754,-3.1705
311,-7.9379,-3.1281
312,-7.9993,-3.084
313,-8.0595,-3.0387
314,-8.1185,-2.9918
315,-8.1766,-2.943
316,-8.2334,-2.8931
317,-8.2891,-2.8414
318,-8.3438,-2.7879
319,-8.3971,-2.7333
320,-8.4491,-2.6774
321,-8.4995,-2.6207
322,-8.5485,-2.5629
323,-8.596,-2.5043
324,-8.642,-2.4444
325,-8.6867,-2.3834
326,-8.7302,-2.3207
327,-8.7724,-2.2568
328,-8.813,-2.1924
329,-8.8521,-2.1266
330,-8.8898,-2.06
331,-8.9261,-1.9921
332,-8.9608,-1.9236
333,-8.994,-1.8542
334,-9.0254,-1.7847
335,-9.0552,-1.7145
336,-9.0832,-1.6444
337,-9.1095,-1.574
338,-9.134,-1.5037
339,-9.1568,-1.4328
340,-9.1778,-1.3621
341,-9.197,-1.2922
342,-9.2144,-1.2224
343,-9.23,-1.1531
344,-9.2437,-1.0838
345,-9.2558,-1.015
346,-9.266,-0.94633
347,-9.2746,-0.87849
348,-9.2814,-0.81092
349,-9.2864,-0.74346
350,-9.2899,-0.67683
351,-9.2916,-0.61042
352,-9.2916,-0.54415
353,-9.2901,-0.47866
354,-9.2871,-0.41378
355,-9.2827,-0.34995
356,-9.2768,-0.2868
357,-9.2697,-0.2246
358,-9.2612,-0.16282
359,-9.2513,-0.10159
