t,inp,resp,fit
0,6.99285418339297e-15,0.0237767351166473,0.0174088804652856
0.02,6.99236643997787e-15,0.0256265010395943,0.0127911889767426
0.04,6.99366732970742e-15,0.0168571313007237,0.00939833642749167
0.06,7.0239145901014e-15,0.00617155134133942,0.00690543527774621
0.08,6.99064786087118e-15,-0.00999502951648547,0.00507377414535357
0.1,7.06365087678281e-15,-0.00543904969430243,0.003727959649556
0.12,7.07134742461819e-15,-0.0124871131380118,0.00273912136224151
0.14,6.99523266980659e-15,-0.0230701441427205,0.00201257163230915
0.16,6.9072037289823e-15,-0.0233934230512362,0.00147873863166916
0.18,6.91184960546363e-15,-0.0136753315642239,0.00108650440346456
0.2,6.99453855648522e-15,-0.00337052766222363,0.000798309987625101
0.22,7.06067600635793e-15,0.00933020963401399,0.000586558907916386
0.24,7.06994463573651e-15,0.0198115753761672,0.000430974631145434
0.26,7.04410310978807e-15,0.0198251937228034,0.00031665895817865
0.28,-0.3335040519077,0.0194392949483271,0.000232665425174744
0.3,-6.33350996666013,0.0220558572724549,0.000170951108988842
0.32,-12.0000003854042,0.0321175878354525,0.000125606465346876
0.34,-12.0000003854042,0.0366208272076979,9.22894518224435e-05
0.36,-11.9999998627354,-0.121922115534912,6.78097492372335e-05
0.38,-12.0000002230085,-0.579745233487206,4.98232679993171e-05
0.4,-11.9999999768484,-1.6514612658507,-0.0843202589717586
0.42,-11.9999999768484,-2.78895446443211,-1.66395906969021
0.44,-11.9999999280136,-4.61215489256029,-4.25788802450661
0.46,-12.0000000617528,-5.75888372183997,-6.16377941823884
0.48,-12.0000001759859,-6.98024929117575,-7.56413452628031
0.5,-11.9999999611705,-8.42805271249723,-8.59304666360339
0.52,-11.9999999273197,-9.32008835350902,-9.34904062491878
0.54,-11.9999998874255,-10.0285538106484,-9.90450779833893
0.56,-11.999999659976,-10.216105722971,-10.3126377401075
0.58,-12.0000000299724,-10.3859126473357,-10.6125115781495
0.6,-12.0000000209539,-10.4774549079844,-10.8328441516451
0.62,-11.999999994476,-10.637621535661,-10.9947336335684
0.64,-11.9999999880507,-10.8649848260384,-11.1136820525491
0.66,-11.9999995779414,-11.010838394758,-11.2010794893361
0.68,-11.9999993041184,-11.1102142983585,-11.2652947690433
0.7,-12.0000001403793,-11.1897682653124,-11.312477091239
0.72,-12.0000000216951,-11.2456048664904,-11.3471443382833
0.74,-11.9999998496543,-11.332497712793,-11.37261611934
0.76,-11.9999995570482,-11.3785866717474,-11.3913315294105
0.78,-12.0000001684618,-11.409424907779,-11.4050825883361
0.8,-12.0000001684618,-11.4368845399922,-11.4151861207223
0.82,-12.0000003124594,-11.4512723689616,-11.4226099108248
0.84,-12.0000000677474,-11.4721572589292,-11.428064516576
0.86,-11.9999998929838,-11.4963575671079,-11.4320722490392
0.88,-11.9999997856884,-11.4999104182817,-11.4350168596901
0.9,-1.83507029029672,-11.5143016339746,-11.4371805693947
0.92,12.0000000317537,-11.5232786124058,-11.438770356847
0.94,12.0000000317537,-11.4974197888576,-11.439938490884
0.96,11.9999996468536,-11.4577337691662,-11.4407967164131
0.98,12.0000003604103,-10.1743841447827,-11.4414272541085
1,11.9999999066092,-8.25536836996666,-11.4418905150499
1.02,12.0000000738275,-5.88722597518001,-8.87110290821797
1.04,11.9999998761537,-2.63587330105731,-3.48275735858412
1.06,11.9999996408859,1.08827458261723,0.476333884232687
1.08,11.9999992544366,4.18142410431629,3.38527927386539
1.1,11.9999992544366,6.52265716695125,5.52262942789185
1.12,12.0000000209361,8.40122260636733,7.09304906434472
1.14,12.000000089179,9.31167691067135,8.2469162023864
1.16,12.0000000045628,9.96238343930342,9.09472096362503
1.18,11.999999678656,10.1400198688186,9.71764613690238
1.2,11.9999999777855,10.1950890447148,10.175340813131
1.22,12.0000002769151,10.3253155754135,10.5116323460049
1.24,11.9999995714275,10.4822165842497,10.7587230151646
1.26,11.9999995714275,10.6549376788909,10.9402731010771
1.28,12.0000000449974,10.8131576480414,11.0736671518709
1.3,11.9999995425023,10.931065987685,11.1716784559508
1.32,11.9999996527502,11.0272658247504,11.2436924164139
1.34,11.9999996791726,11.2385389292236,11.2966048076661
1.36,11.9999997350527,11.3143367220173,11.3354820514101
1.38,11.9999997966841,11.3775187092403,11.3640471376382
1.4,11.9999999476283,11.4050016590035,11.3850354775912
1.42,11.9999993595155,11.4128487188347,11.4004565502148
1.44,11.9999992249045,11.43681008966,11.4117872236612
1.46,12.0000004856287,11.4663919482176,11.420112451807
1.48,12.0000003161709,11.4910167138621,11.4262294340427
1.5,12.0000001827976,11.5124324313079,11.430723907268
1.52,12.0000000612877,11.5323530910924,11.4340262632789
1.54,12.0000000612877,11.5577820277635,11.4364525232661
1.56,11.9999997083242,11.5859747709734,11.4382351857019
1.58,11.9999996636154,11.5920043959687,11.4395453172547
1.6,11.9999995381745,11.5877789290285,11.440507894608
1.62,11.9999998216772,11.5686571076656,11.4412151153599
1.64,11.999999916948,11.566905276929,11.4417347156435
1.66,11.9999999037828,11.5722871803536,11.4421164923713
1.68,11.9999998804578,11.5822646408074,11.4423969138514
1.7,11.9999996267223,11.58618149667,11.4426029424515
1.72,11.9999995171593,11.5812453856249,11.4427542904027
1.74,12.0000000706556,11.5886459029754,11.4428655651415
1.76,11.9999998243453,11.6019874358423,11.4429473484435
1.78,11.9999999432007,11.6000711623068,11.4430074354607
1.8,12.0000001660584,11.5919554378731,11.4430515785452
1.82,12.0000001563698,11.5783616760909,11.4430839485321
1.84,11.9999999855507,11.5621358211211,11.4431077046931
1.86,11.9999998844931,11.5495128690468,11.4431252995535
1.88,12.0000003342779,11.5319589830915,11.4431381650895
1.9,12.0000003615086,11.5405748468595,11.4431476481158
1.92,12.0000003450357,11.5455989981203,11.4431546721469
1.94,12.0000003279315,11.5650114406896,11.4431598306088
1.96,12.000000300222,11.5892947501317,11.4431635775856
1.98,12.0000002528155,11.6029272311493,11.4431663051183
2,11.9999998866594,11.6063928829126,11.4431684229442
2.02,12.0000001075947,11.621196668477,11.4431699859062
2.04,12.0000001460129,11.6229198169537,11.4431711301271
2.06,12.0000001809281,11.6185006130963,11.443171966518
2.08,11.9999996897076,11.6264609285036,11.443172574048
2.1,11.9999999655172,11.6262980237945,11.4431730084402
2.12,11.9999999655172,11.6187218679894,11.4431732349942
2.14,11.9999996416305,11.6135387004562,11.4431734573386
2.16,11.9999996844579,11.6223319982013,11.4431736304239
2.18,11.9999994592987,11.631026515093,11.4431737664299
2.2,11.9999996572783,11.6562649248587,11.4431737421106
2.22,11.9999998354457,11.6624570552795,11.4431737940055
