,x,y,r1,r2,rot
0,1.5018,0.85269,0.325,0.325,0.0
1,1.4381,0.75168,0.32846366532736637,0.32846366532736637,0.0
2,1.3768,0.65122,0.32978714674838744,0.3295133134512688,1.5707961872199734
3,1.318,0.55169,0.3319516060804268,0.33097776678221674,1.5707549857963334
4,1.2612,0.45284,0.33487501857330726,0.33290743840803305,1.5705703339074888
5,1.2062,0.35431,0.33840376265794525,0.33524468562765464,1.570077482701806
6,1.1521,0.25575,0.34243363258165077,0.33791832698177304,1.569046973746725
7,1.0985,0.15694,0.3469001139064255,0.3408703540567181,1.5671795551664307
8,1.0446,0.057787,0.3517620951783979,0.34405421005086206,1.564097677826937
9,0.98963,-0.041677,0.3569897402588112,0.3474338393319956,1.5593305040068905
10,0.93277,-0.14126,0.3625624335840824,0.3509798008699335,1.552291453783837
11,0.87316,-0.24066,0.36846488375613784,0.35466923406603923,1.5422418978592678
12,0.80982,-0.33944,0.3746815210415872,0.3584806595961658,1.5282393610257423
13,0.74178,-0.43709,0.3812004213900407,0.36240062065770917,1.509051791683471
14,0.66803,-0.53306,0.38800866997712713,0.36641553679132366,1.483028863691756
15,0.58771,-0.6269,0.3950938244745813,0.3705153034761561,1.4479142587878233
16,0.50026,-0.71846,0.4024428708673289,0.37469348460136626,1.400512881271274
17,0.40562,-0.80803,0.41004180647519195,0.3789443708039681,1.3362476393442106
18,0.304,-0.8962,0.4178769169920413,0.3832661103048201,1.248533322700957
19,0.19569,-0.98357,0.42592931158062164,0.3876585431833664,1.1281346561498427
