9.502,0.0007998,2.0002,-0.0003932
9.5062,0.0059377,2.0001,-0.00017775
9.5108,0.017842,2.0001,-3.9043e-05
9.5148,0.037066,2,3.9328e-05
9.5178,0.063172,2,8.3153e-05
9.5195,0.095245,2,0.00010419
9.5196,0.13234,2,2.7407e-05
9.518,0.17393,2,7.3134e-05
9.5144,0.21916,2,0.0001017
9.509,0.26712,2,2.4184e-05
9.5017,0.3173,2,6.2134e-05
9.4923,0.36917,2,-3.9003e-07
9.4809,0.42252,2,4.4658e-05
9.4675,0.47685,2,7.6316e-05
9.4523,0.53146,2,-1.3765e-06
9.4355,0.58617,2,3.0762e-05
9.4171,0.64062,2,5.872e-05
9.3976,0.69431,2,-2.2556e-05
9.3767,0.7473,2,8.6425e-06
9.3548,0.79948,2,4.0432e-05
9.3319,0.85059,2,-4.2264e-05
9.3079,0.90091,2,-1.0061e-05
9.2829,0.95052,2,2.7065e-05
9.257,0.99935,2,-5.6467e-05
9.23,1.0478,2,-2.5952e-08
9.2019,1.0958,2,4.5381e-05
9.1732,1.1431,2,-4.3095e-05
9.1437,1.19,2,2.6353e-05
9.1136,1.2361,1.9999,5.3113e-05
9.0835,1.2811,2,-4.2572e-05
9.0531,1.3251,2,2.1417e-05
9.0225,1.3683,2,-5.5738e-05
8.9916,1.4108,2,1.7634e-05
8.9603,1.4528,2,-5.2998e-05
8.9284,1.4946,2,1.098e-05
8.8961,1.5362,2,4.2675e-05
8.8635,1.5772,2,-3.7934e-05
8.8305,1.6179,2,-4.2359e-06
8.7971,1.6583,2,2.9643e-05
8.7636,1.698,1.9999,4.7345e-05
8.7304,1.7368,2,-2.8659e-05
8.6974,1.7747,2,1.0014e-06
8.6645,1.8118,2,2.8074e-05
8.632,1.8478,2,-3.2041e-05
8.5997,1.8829,2,2.7697e-06
8.5677,1.9172,2,2.8228e-05
8.536,1.9504,2,-2.6284e-05
8.5046,1.9827,2,6.7773e-06
8.4734,2.0142,2,-3.1257e-05
8.4423,2.045,2,8.8689e-06
8.4111,2.0751,2,-2.3355e-05
8.3797,2.1048,2,1.5462e-05
8.3484,2.1338,2,2.1049e-05
8.3173,2.1621,2,-1.3214e-05
8.2863,2.1896,2,1.366e-05
8.2556,2.2163,2,-2.2005e-05
8.2249,2.2423,2,6.4962e-06
8.1944,2.2677,2,2.3742e-05
8.1644,2.2921,2,-2.1307e-05
8.1346,2.3158,2,8.9207e-07
8.105,2.3388,2,-3.4988e-05
8.0751,2.3614,2,-6.713e-06
8.0449,2.3837,2,1.5105e-05
8.0146,2.4055,2,2.546e-05
7.9846,2.4266,2,-2.4124e-05
7.9545,2.4472,2,-7.4601e-06
7.9243,2.4674,2,1.0579e-05
7.8943,2.4871,2,2.0315e-05
7.8646,2.5061,2,-2.9387e-05
7.8348,2.5246,2,-1.4337e-05
7.8047,2.5428,2,4.6635e-06
7.7745,2.5607,2,1.6129e-05
