epochs,b10,b20,b30,b40,b50
10,49.7930312156677,24.828243970871,16.857027053833,12.4646825790405,10.6515545845032
20,105.571539163589,54.5298609733582,35.9995319843292,27.8971712589264,23.8428163528442
30,159.257151126862,77.4128932952881,55.3106718063355,43.7712397575378,35.4410893917084
40,200.561924219131,108.111671209335,68.4825632572174,50.1161012649536,40.2632603645325
50,280.783977270126,141.670287847519,99.6476933956146,77.6456079483032,52.0962629318237
