5,4.9989,4.9914,4.973,4.9415,4.8973,4.8414,4.7753,4.7006,4.6186,4.5308,4.4381,4.3416,4.242,4.1403,4.0368,3.9321,3.8267,3.7207,3.6144
4.9989,4.9914,4.9733,4.9433,4.9017,4.8496,4.7881,4.7184,4.6418,4.5592,4.4717,4.3801,4.2853,4.1879,4.0885,3.9876,3.8857,3.783,3.6799,3.5765
4.9914,4.9734,4.9441,4.9037,4.8534,4.7939,4.7265,4.6522,4.5719,4.4866,4.3971,4.3042,4.2085,4.1105,4.0109,3.91,3.8082,3.7058,3.603,3.5
4.9734,4.9442,4.9044,4.8551,4.7971,4.7314,4.659,4.5807,4.4973,4.4096,4.3184,4.2242,4.1276,4.0292,3.9293,3.8284,3.7267,3.6245,3.5219,3.4192
4.9442,4.9046,4.8561,4.7995,4.7359,4.6659,4.5903,4.5097,4.4249,4.3364,4.2448,4.1507,4.0545,3.9566,3.8575,3.7574,3.6567,3.5555,3.4539,3.3522
4.9047,4.8559,4.7982,4.7324,4.6593,4.5799,4.495,4.4057,4.3125,4.2163,4.1176,4.0169,3.9148,3.8115,3.7074,3.6027,3.4976,3.3923,3.2868,3.1812
4.8559,4.7985,4.7336,4.6623,4.5853,4.5035,4.4176,4.328,4.2354,4.1403,4.0431,3.9443,3.8442,3.7431,3.6412,3.5388,3.436,3.333,3.2298,3.1265
4.7985,4.7335,4.6614,4.5828,4.4987,4.4098,4.3169,4.2209,4.1222,4.0215,3.9192,3.8158,3.7114,3.6065,3.5011,3.3955,3.2897,3.1839,3.078,2.9721
4.7335,4.6617,4.5841,4.502,4.4159,4.3266,4.2344,4.1399,4.0434,3.9454,3.8461,3.7457,3.6446,3.5429,3.4408,3.3384,3.2357,3.133,3.0302,2.9273
4.6617,4.5841,4.5013,4.4139,4.3225,4.2278,4.1304,4.031,3.9298,3.8274,3.724,3.62,3.5155,3.4108,3.3058,3.2008,3.0957,2.9907,2.8856,2.7806
4.5841,4.5016,4.4151,4.3256,4.2336,4.1396,4.0438,3.9466,3.8483,3.749,3.649,3.5484,3.4474,3.346,3.2444,3.1427,3.0408,2.9389,2.8369,2.7349
4.5016,4.4151,4.3249,4.2313,4.135,4.0365,3.9361,3.8344,3.7316,3.6281,3.5241,3.4197,3.3152,3.2106,3.1061,3.0015,2.897,2.7925,2.6881,2.5837
4.4151,4.3251,4.2325,4.1379,4.0417,3.9444,3.846,3.7468,3.647,3.5467,3.446,3.3451,3.2439,3.1426,3.0412,2.9398,2.8383,2.7368,2.6353,2.5338
4.3252,4.2328,4.1396,4.0461,3.9525,3.8588,3.7649,3.6708,3.5763,3.4814,3.3861,3.2904,3.1943,3.0978,3.0011,2.9041,2.807,2.7097,2.6122,2.5148
4.2329,4.1396,4.0454,3.9505,3.8547,3.7582,3.6611,3.5633,3.4651,3.3664,3.2674,3.1681,3.0685,2.9687,2.8688,2.7688,2.6687,2.5685,2.4683,2.3681
4.1396,4.0457,3.9516,3.8575,3.7634,3.6693,3.5749,3.4802,3.3852,3.2898,3.194,3.0978,3.0012,2.9044,2.8072,2.7099,2.6123,2.5147,2.4169,2.3191
4.0457,3.9516,3.8565,3.7604,3.6633,3.5652,3.4662,3.3667,3.2665,3.166,3.0651,2.9641,2.8628,2.7615,2.6601,2.5586,2.4571,2.3557,2.2542,2.1528
3.9516,3.8568,3.7613,3.6653,3.5689,3.472,3.3748,3.2771,3.1791,3.0808,2.9822,2.8834,2.7843,2.6851,2.5857,2.4863,2.3867,2.2871,2.1875,2.0878
3.8568,3.7612,3.6639,3.5648,3.464,3.3617,3.2584,3.1543,3.0498,2.945,2.84,2.735,2.6302,2.5254,2.4208,2.3163,2.212,2.1077,2.0036,1.8995
3.7612,3.6641,3.5653,3.465,3.3635,3.2611,3.1581,3.0546,2.951,2.8472,2.7434,2.6397,2.5361,2.4326,2.3293,2.2261,2.123,2.02,1.9171,1.8142
3.6642,3.5656,3.4663,3.3668,3.2672,3.1677,3.0682,2.9687,2.8693,2.7698,2.6704,2.5709,2.4714,2.3719,2.2723,2.1728,2.0732,1.9736,1.874,1.7745
3.5656,3.4667,3.3685,3.2716,3.1759,3.0812,2.9871,2.8934,2.7999,2.7063,2.6125,2.5186,2.4243,2.3297,2.2349,2.1398,2.0446,1.9491,1.8536,1.758
3.4667,3.3684,3.2703,3.1722,3.0737,2.9749,2.8759,2.7766,2.6771,2.5775,2.4776,2.3777,2.2776,2.1775,2.0773,1.9771,1.8768,1.7765,1.6763,1.576
3.3685,3.2705,3.1726,3.0746,2.9764,2.8781,2.7797,2.681,2.5822,2.4832,2.3841,2.2848,2.1855,2.086,1.9864,1.8868,1.7872,1.6875,1.5878,1.4881
3.2706,3.1729,3.0758,2.9796,2.884,2.7888,2.694,2.5991,2.5042,2.4092,2.3139,2.2183,2.1225,2.0264,1.93,1.8335,1.7367,1.6399,1.5429,1.4459
3.1729,3.0757,2.9778,2.8787,2.7784,2.677,2.5749,2.4721,2.369,2.2656,2.1621,2.0585,1.955,1.8515,1.7482,1.6449,1.5417,1.4385,1.3355,1.2324
3.0757,2.9778,2.8786,2.7778,2.6757,2.5727,2.4689,2.3647,2.2601,2.1555,2.0509,1.9463,1.8419,1.7377,1.6336,1.5297,1.4259,1.3222,1.2186,1.1151
2.9779,2.8787,2.7778,2.6755,2.5721,2.4678,2.3629,2.2578,2.1525,2.0473,1.9421,1.8372,1.7325,1.628,1.5238,1.4197,1.3158,1.2121,1.1085,1.0049
