9.5,0
9.5,-3.6183e-05
9.4989,0.0016004
9.4935,0.010828
9.4831,0.028509
9.4679,0.053673
9.4485,0.085243
9.4252,0.12292
9.3988,0.16525
9.3702,0.21082
9.3397,0.25936
9.3077,0.30993
9.2744,0.36243
9.2404,0.41608
9.2058,0.4704
9.1707,0.52529
9.1348,0.58149
9.0985,0.63836
9.062,0.69507
9.0252,0.75212
8.9883,0.8091
8.9517,0.86548
8.9146,0.92223
8.8766,0.97987
8.8379,1.0376
8.7993,1.0946
8.7605,1.1511
8.7219,1.2063
8.6833,1.2609
8.6451,1.3145
8.6069,1.3673
8.5689,1.4194
8.5307,1.471
8.4924,1.5219
8.4546,1.5713
8.4172,1.6192
8.379,1.6671
8.3398,1.7149
8.2996,1.7625
8.259,1.8092
8.2185,1.8546
8.1781,1.8989
8.1374,1.9425
8.0968,1.9849
8.0558,2.0264
8.0141,2.0672
7.9724,2.1068
7.9307,2.1451
7.8882,2.1829
7.8451,2.2199
7.8019,2.2558
7.7582,2.2907
7.714,2.3247
7.6689,2.3581
7.6231,2.3906
7.5771,2.4221
7.5305,2.4529
7.4836,2.4825
7.4372,2.5109
7.3906,2.5384
7.3433,2.5653
7.2958,2.5912
7.2486,2.6159
7.2011,2.6397
7.1527,2.6628
7.1036,2.6852
7.0537,2.7066
7.0031,2.7271
6.9523,2.7468
6.9019,2.7654
6.8513,2.7833
6.8004,2.8001
6.7495,2.8159
6.6983,2.8308
6.646,2.845
6.5929,2.8584
6.539,2.8711
6.4848,2.8831
6.4298,2.8943
6.3738,2.9047
6.3172,2.9144
6.2601,2.9233
6.2028,2.9313
6.1454,2.9386
6.0882,2.9452
6.0316,2.9509
5.9758,2.9557
5.9202,2.9597
5.8646,2.9629
5.8091,2.9653
5.7529,2.9666
5.696,2.9672
5.639,2.9668
5.5813,2.9656
5.5234,2.9635
5.4644,2.9606
5.405,2.9568
5.3461,2.9522
5.2869,2.9467
5.2267,2.9403
5.166,2.933
5.105,2.9248
5.0438,2.9161
4.9828,2.9067
4.9215,2.8966
4.8599,2.886
4.7987,2.875
4.7373,2.8635
4.6763,2.8516
4.6165,2.8397
4.5579,2.828
4.4989,2.8156
4.4395,2.8027
4.3805,2.7895
4.3216,2.776
4.2623,2.7619
4.2034,2.7475
4.144,2.7323
4.084,2.7162
4.024,2.6993
3.9637,2.6817
3.9035,2.6632
3.8433,2.6441
3.7835,2.6242
3.724,2.6037
3.6651,2.5827
3.6063,2.561
3.5491,2.5393
3.4929,2.5171
3.4374,2.4943
3.382,2.4705
3.3275,2.4462
3.2744,2.4221
3.2227,2.3982
3.1717,2.3737
3.1204,2.3476
3.0693,2.3205
3.0175,2.2919
2.9649,2.2619
2.9135,2.2319
2.8626,2.2016
2.8124,2.1714
2.7622,2.1404
2.712,2.1088
2.6624,2.0769
2.6133,2.0443
2.5649,2.0114
2.5177,1.9785
2.4714,1.9452
2.4257,1.9114
2.3802,1.8769
2.3353,1.8421
2.2905,1.8068
2.2462,1.7715
2.2023,1.7361
2.1589,1.7007
2.1157,1.6649
2.0725,1.6286
2.029,1.5915
1.9846,1.5531
1.9385,1.513
1.8903,1.4707
1.8393,1.4255
1.7854,1.3768
1.7283,1.3248
1.669,1.271
1.6089,1.2161
1.548,1.1593
1.486,1.1007
1.4236,1.0415
1.3616,0.98219
1.3002,0.92276
1.2403,0.8648
1.1824,0.80745
1.1263,0.74806
1.0722,0.68712
1.0202,0.62503
0.97075,0.56281
0.92422,0.5
0.87987,0.43374
0.83757,0.36425
0.7976,0.29232
0.75998,0.21764
0.72465,0.14008
0.69144,0.062237
0.65994,-0.015089
0.62997,-0.09234
0.60111,-0.16744
0.5722,-0.23938
0.54036,-0.3096
0.50357,-0.37748
0.46007,-0.44016
0.4103,-0.49798
0.35524,-0.55131
0.29612,-0.60037
0.23364,-0.64543
0.16775,-0.6888
0.099352,-0.73111
0.029969,-0.77252
-0.040553,-0.8145
-0.11145,-0.85637
-0.18161,-0.89766
-0.25096,-0.93941
-0.31892,-0.98106
-0.386,-1.0232
-0.45228,-1.0663
-0.51754,-1.1106
-0.58255,-1.1564
-0.64761,-1.204
-0.71206,-1.2526
-0.77528,-1.3022
-0.83793,-1.353
-0.89955,-1.4043
-0.95923,-1.4556
-1.0175,-1.5074
-1.0752,-1.5603
-1.1325,-1.6135
-1.1898,-1.6672
-1.2473,-1.7214
-1.3042,-1.7757
-1.3609,-1.8301
-1.4179,-1.8842
-1.4747,-1.9377
-1.5319,-1.9904
-1.5898,-2.0426
-1.6479,-2.094
-1.7063,-2.1443
-1.7651,-2.1933
-1.8257,-2.2419
-1.8875,-2.2903
-1.9498,-2.338
-2.0133,-2.3851
-2.0778,-2.4311
-2.1437,-2.4758
-2.21,-2.5192
-2.2758,-2.5611
-2.3416,-2.6017
-2.4081,-2.6416
-2.475,-2.6806
-2.5431,-2.7188
-2.6122,-2.7571
-2.6817,-2.795
-2.7516,-2.8319
-2.8218,-2.8678
-2.8921,-2.9029
-2.9629,-2.9372
-3.0341,-2.9711
-3.1063,-3.0048
-3.1791,-3.0379
-3.252,-3.0704
-3.3253,-3.1028
-3.3983,-3.1345
-3.4714,-3.1656
-3.5452,-3.1959
-3.6187,-3.2255
-3.6924,-3.2545
-3.7672,-3.2831
-3.8424,-3.3112
-3.9177,-3.3386
-3.9932,-3.3651
-4.0699,-3.3912
-4.1472,-3.4167
-4.2245,-3.4417
-4.3022,-3.4658
-4.38,-3.4888
-4.4584,-3.5111
-4.5367,-3.5325
-4.615,-3.553
-4.6927,-3.5726
